ability_slot,ability_name,ability_text,character_id
basic,Ability 1,"Guardian of the Soul Stone, Adam Warlock prevents his Infinity Watch allies' positive effects from being cleared or flipped.",AdamWarlock
special,Ability 2,"Assist/Counter Info Attack primary target for 263% damage + 17% Piercing.Prolong the duration of all negative effects, excluding Ability Block and Stun, by 1.Apply Bleed for 2 turns to the primary target.",AdamWarlock
ultimate,Ability 3,"Soul Mage Assault  Attack primary target for 350% damage.
Prolong the duration of all negative effects, excluding Ability Block and Stun, by 1.
Apply 2 Bleed for 2 turns to the primary target. Level Required: 65  t4 confidence 58.5%",AdamWarlock
passive,Ability 4,"Enfeebling Blast  Attack primary target for 500% damage + apply Ability Block for 2 turns.
Apply Ability Block to all enemy VILLAIN PROTECTORS for 2 turns.
Apply Disrupted to all enemy PROTECTORS for 2 turns.

Clear 1 Vulnerable and all Darkness from all GALACTIC COUNCIL allies.

This attack is Unavoidable. Level Required: 78  t4 confidence 55.3%",AdamWarlock
basic,Ability 1,"One of the most powerful witches alive, Agatha Harkness is a centuries-old survivor of the Salem Witch Trials who uses her potent spells to debilitate her enemies.",AgathaHarkness
special,Ability 2,"Assist/Counter Info Attack primary target for 210% Piercing.If the primary target is MYSTIC, deal 5% of the target's Max Health.Apply +1 Deflect, up to a maximum of 3, to self and all DARKHOLD allies.",AgathaHarkness
ultimate,Ability 3,"Witchcraft  Attack primary target for 275% Piercing.
If the primary target is MYSTIC, deal 5% of the target's Max Health.

Apply +1 Deflect, up to a maximum of 3, to self and all DARKHOLD and NIGHTSTALKER allies.

Call 1 random adjacent DARKHOLD or NIGHTSTALKER ally to attack the primary target. Called ally attacks for -50% Damage.
In ARENA, call 2 random adjacent DARKHOLD allies to attack the primary target instead. Level Required: 65  t4 confidence 66.1%",AgathaHarkness
passive,Ability 4,"Binding Enchantment  Attack primary target for 250% Piercing + apply Slow.
If the primary target has Slow, Bonus Attack for 180% Piercing + apply Stun.
If the primary target has Stun, Bonus Attack for 180% Piercing + prolong the duration of all negative effects, excluding Ability Block and Stun, by 1. Level Required: 68  t4 confidence 59.2%",AgathaHarkness
basic,Ability 1,An agent of S.H.I.E.L.D. who defends the Helicarrier by clearing positive effects from invading teams.,Coulson
special,Ability 2,"Night-Night Gun  Attack primary target for 230% damage + Chain to 2-4 adjacent targets for 180% damage. 

Counterattack breaks this Chain.

Reduce Speed Bar of primary and secondary targets by 20%. Level Required: 65  t4 confidence 18.0%",Coulson
ultimate,Ability 3,"EMP Punch  Attack primary target for 260% damage. Attack all other enemies for 210% damage.

In WAR:
> Transfer 4 positive effects from primary target to all non-MINION S.H.I.E.L.D. and NEW AVENGER allies.
> Flip all positive effects on primary target.

Clear all positive effects from all enemies.
Apply Slow + Heal Block to all TECH and BIO enemies.

In WAR, this attack cannot be counterattacked or blocked. Level Required: 68  t4 confidence 20.7%",Coulson
passive,Ability 4,"Teamwork  Apply Offense Up to all S.H.I.E.L.D. and NEW AVENGER allies.

In WAR, clear all positive effects from the enemy with the highest Damage.

Apply Defense Down for 2 turns, Taunt for 2 turns, and Disrupted for 2 turns to the enemy with the highest Damage.
Call 2 allies with the most Damage to attack the enemy with the highest Damage.
Attack all enemies for 280% damage.

Gain +200% Extra Focus for this attack.

In WAR, this attack cannot be counterattacked or blocked. Level Required: 70  t4 confidence 24.6%",Coulson
basic,Ability 1,"Disabled veteran Flash Thompson volunteered to be bonded with the Venom symbiote, combining his mastery of weaponry with symbiote savagery to deal massive damage to their enemies.",AgentVenom
special,Ability 2,"Assist/Counter Info Attack primary target for 205% damage + 17% Piercing + apply Defense Down for 2 turns.
On any Crit, apply Bleed.",AgentVenom
ultimate,Ability 3,"Gun Play  Attack primary target for 300% damage + apply Defense Down for 2 turns. Chain to 1 adjacent target for 300% damage + apply Defense Down for 2 turns.

In RAIDS, Chain to an additional adjacent target for 300% damage + apply Defense Down for 2 turns.

On any Crit, apply Bleed. Level Required: 65  t4 confidence 37.2%",AgentVenom
passive,Ability 4,"Symbiotic Smackdown  Attack primary target 250% Piercing.
Bonus Attack 2 times for 250% Piercing.

If this character has 3 or more REBIRTH allies, Bonus Attack 1 additional time for 250% Piercing.

In RAIDS, flip a positive effect to a negative effect on each attack. Level Required: 68  t4 confidence 31.6%",AgentVenom
basic,Ability 1,America Chavez hits hard enough to punch through reality itself and is even stronger with Hero Brawler allies.,AmericaChavez
special,Ability 2,Assist/Counter Info Attack primary target for 241% damage + 17% Piercing + apply Defense Down.,AmericaChavez
ultimate,Ability 3,Starstruck  Attack primary target for 290% damage + apply Defense Down. Level Required: 65  t4 confidence 18.8%,AmericaChavez
passive,Ability 4,"Shooting Star  Attack primary target for 300% damage + 75% damage per YOUNG AVENGER or HERO BRAWLER ally.

If Kate Bishop is an ally, this attack always Crits. Level Required: 68  t4 confidence 27.0%",AmericaChavez
basic,Ability 1,"For centuries, the Ancient One served as Sorcerer Supreme, protecting the Earth from mystical threats from other dimensions. She uses her mastery of the mystic arts to deal massive damage to her enemies while harnessing seemingly random magic forces to aid her teammates.",AncientOne
special,Ability 2,"Soul Strike  Attack primary and adjacent targets for 200% Piercing + apply 2 Bleed.

On Crit, apply an additional 2 Bleed to that target.

When forced to attack an ally, this character deals less damage to ASTRAL characters. Level Required: 65  t4 confidence 57.0%",AncientOne
ultimate,Ability 3,"Serene Devastation  Flip all positive effects into negative effects on all enemies.

Attack all enemies for 200% Piercing + 5% of each target's Max Health + apply Heal Block for 2 turns.
This attack gains +50% Extra Crit Damage.

Apply 3 Counter to self and all allies.
In BATTLEWORLD and WAR, apply Speed Up to self and all allies.

This attack is Unavoidable and cannot be blocked. Level Required: 78  t4 confidence 64.8%",AncientOne
passive,Ability 4,"Arcane Reign  Attack primary target for 250% Piercing + Rebound Chain to 3 adjacent enemies for 250% Piercing.

Attack the most injured enemy for 250% Piercing + apply Stun + reduce Speed Bar by 100%.

Apply Safeguard to self and all ASTRAL allies.

Counterattack breaks this Chain. Level Required: 70  t4 confidence 57.8%",AncientOne
basic,Ability 1,A master thief skilled at disabling powerful opponents with the help of his Pym Particle powered suit.,AntMan
special,Ability 2,"Scrappy Fighter  Attack primary target for 340% damage + copy and clear a positive effect, excluding Taunt, from the target to self.

If Wasp is an ally, she also gains the copied effect.

When forced to attack an ally, this character deals less damage to INFESTATION characters. Level Required: 65  t4 confidence 22.7%",AntMan
ultimate,Ability 3,"Gum Up the Works  Attack primary target for 260% damage + apply Ability Block for 2 turns.

Gain an assist from an ally Wasp.

On WAR DEFENSE, if Spider-Man (Big Time) is an ally:
 > Clear Revive Once from the primary target.
 > This attack will also have the additional effects of this character's Ultimate - Stomp, targeting the primary target.

This attack cannot be dodged or blocked. Level Required: 68  t4 confidence 19.2%",AntMan
passive,Ability 4,"Stomp  On WAR DEFENSE, if Spider-Man (Big Time) is an ally, clear Revive Once from the primary target.

Attack all enemies for 320% damage + apply Slow for 2 turns to primary target.

Apply Slow to all additional enemies.

If Spider-Man (Big Time) is an ally, this attack will also have the additional effects of this character's Special - Gum Up the Works, targeting the primary target. Level Required: 70  t4 confidence 20.3%",AntMan
basic,Ability 1,"An altered Venom Symbiote turned Eddie Brock into Anti-Venom, a Hero who heals rather than destroys.",AntiVenom
special,Ability 2,"Death Claw  Attack primary target for 250% damage + apply Bleed and the opposite of 2 random positive effects on this character to the primary target.

Heal the most injured non-summoned ally for 10% of this character's Max Health + clear Heal Block.

This attack cannot be dodged. Level Required: 65  t4 confidence 53.9%",AntiVenom
ultimate,Ability 3,"Antiseptic  Clear Heal Block on all allies. Apply Immunity to all allies.
Heal all allies for 20% of this character's Max Health.

Revive a dead SYMBIOTE ally with 60% base Health
If there are no SYMBIOTE allies to revive, gain 3 Ability Energy. Level Required: 68  t4 confidence 50.1%",AntiVenom
passive,Ability 4,"Deadly Cure  Gain the opposite of all negative effects, excluding Bleed, on the primary target.
Attack primary target for 300% damage + 100% Drain.
Gain 2 Regeneration.
Spread 2 random positive effects on self to non-SYMBIOTE allies. Spread all positive effects on self to SYMBIOTE allies. Level Required: 70  t4 confidence 51.2%",AntiVenom
basic,Ability 1,"The first mutant, En Sabah Nur, Apocalypse has arrived! With his incalculable power he destroys enemy defenses and grants Safeguard and Immunity to his allies.",Apocalypse
special,Ability 2,"The Alpha  Gain Offense Up and Speed Up.
Heal for 5% of this character's Max Health.
Attack primary and adjacent targets for 400% damage + 100% Drain + apply Bleed.

When this character performs a Counterattack or Assist, if Charged, apply Stun to that target and clear Charged on this character.

This attack is Unavoidable and cannot be blocked. Level Required: 75  t4 confidence 94.8%",Apocalypse
ultimate,Ability 3,"Seismic Sands  Attack primary target for 350% Piercing + 100% Drain + apply +1 Ability Block, up to a maximum of 2.
Attack all adjacent targets for 350% Piercing + 100% Drain.

Apply +2 Vulnerable, +2 Offense Down, and +2 Defense Down, up to a maximum of 3, to primary and adjacent targets.

Redistribute your total squad health evenly.

Do the following for this character, all HORSEMAN allies, and 2 non-HORSEMAN allies with the highest Damage:
 > Clear all negative effects.
 > Apply +1 Defense Up, up to a maximum of 2.
 > Apply Safeguard and Immunity.

This attack ignores Defense Up. Level Required: 78  t4 confidence 92.6%",Apocalypse
passive,Ability 4,"The End is Here  Clear Barrier on all enemies.

Attack all enemies for 500% damage + 100% Drain.
Flip Defense Up on all enemies. Flip 2 random positive effects into negative effects on all enemies.
Apply Trauma, Bleed, and Slow to all enemies.

Become Empowered. On Empowered, fill Speed Bar for self by 100% + 10% for each HORSEMAN ally.

This attack is unavoidable and cannot be Blocked or counterattacked. Level Required: 80  t4 confidence 92.7%",Apocalypse
basic,Ability 1,"Formerly one of the five original X-Men, Angel was granted metal wings by Apocalypse and transformed into Archangel, the Horseman of Death.",Archangel
special,Ability 2,"Assist/Counter Info Attack primary target for 281% damage + 17% Piercing + apply 2 Bleed.
In RAIDS, apply an additional 2 Bleed to the target.",Archangel
ultimate,Ability 3,"Wing Wrath  Attack primary target and adjacent targets for 300% damage + apply 2 Bleed.
In RAIDS, apply an additional 2 Bleed to the primary target.

This attack cannot be counterattacked. Level Required: 65  t4 confidence 70.5%",Archangel
passive,Ability 4,"Shard Storm  Clear 3 negative effects from self and all DEATH SEED allies.
Apply Offense Up for 2 turns to self and all DEATH SEED allies.
Attack primary and adjacent targets for 330% damage.

On any target Block, fill Speed Bar for this character by +20%.

On Kill, apply Offense Down for 2 turns to all enemies.

This attack cannot be counterattacked. Level Required: 68  t4 confidence 74.9%",Archangel
basic,Ability 1,"The Olympian god of war, Ares revels in violence, bloodshed, and conquest. His thirst for battle allows him to protect his allies by turning his enemy's strengths against them and overwhelming them with sheer brutality.",Ares
special,Ability 2,"Sundering Smite  Attack primary target for 270% damage + clear 3 positive effects.
Chain to 2 adjacent targets for 210% damage + clear 2 positive effects.

Gain Immunity.
Counterattack breaks this Chain. Level Required: 75  t4 confidence 49.3%",Ares
ultimate,Ability 3,"Wrath of Mars  Clear all Barrier on all enemies.
Attack primary target for 250% damage + apply Stun and Disrupted.

Gain Charged.

In WAR, apply Trauma to primary target. Level Required: 78  t4 confidence 42.6%",Ares
passive,Ability 4,"Furious Whirlwind  Attack primary target for 200% damage + 25% Drain.
Attack primary and adjacent targets for 250% Piercing + 25% Drain + apply Bleed for 2 turns and Ability Block for 2 turns.

Flip 3 negative effects into positive effects on self.

This attack is Unavoidable and cannot be blocked. Level Required: 80  t4 confidence 41.2%",Ares
basic,Ability 1,"A ruthless teleporter and master of surprise, Azazel strikes from the shadows to deliver multiple blows against his enemies.",Azazel
special,Ability 2,"Hellish Slash  Attack primary target for 300% damage.
Bonus Attack the enemy with the highest Damage for 150% damage.

If this character has 3 or more HELLFIRE CLUB or ACCURSED allies, this attack cannot be counterattacked. Level Required: 65  t4 confidence 44.7%",Azazel
ultimate,Ability 3,"Tailored Strikes  Attack all enemies for 320% damage + flip Defense Up + apply Bleed.

Bonus Attack the enemy with the highest Damage for 320% damage + apply Blind.

If this character has 3 or more HELLFIRE CLUB or ACCURSED allies, this attack cannot be counterattacked. Level Required: 68  t4 confidence 50.4%",Azazel
passive,Ability 4,"Infernal Barrage  Attack the primary target for 250% Piercing + clear 1 positive effect + reduce Speed Bar by 15%.

Rebound Chain to 8 targets within infinite spaces of the previous target for 250% Piercing + clear 1 positive effect + reduce Speed Bar by 15%.

Bonus Attack the enemy with the highest Speed for 250% Piercing + clear 1 positive effect + apply Slow + reduce Speed Bar by 50%.

If this character has 3 or more HELLFIRE CLUB or ACCURSED allies, this attack cannot be counterattacked.
This attack ignores Defense Up. Level Required: 70  t4 confidence 51.6%",Azazel
basic,Ability 1,"Aristocrat and Hydra commander, Baron Zemo is fueled by contempt for the weak and deals extra damage to minions.",Zemo
special,Ability 2,"Targeted Assault  Apply Assist Now to a Hydra Grenadier ally.

Attack primary target for 290% damage. Level Required: 65  t4 confidence 28.2%",Zemo
ultimate,Ability 3,"Dominating Blow  Clear 3 Deathproof from primary target.
Attack primary target for 450% damage. If primary target is a MINION, attack for 900% damage + 20% Piercing instead. MINIONS killed by this attack cannot be revived.

Gain +5,000% Extra Focus for this attack.
This attack is unavoidable and cannot be Blocked. Level Required: 68  t4 confidence 33.4%",Zemo
passive,Ability 4,"Premeditation  Attack primary target for 300% damage + apply Ability Block for 1 turn and Slow for 2 turns. Rebound chain to 4 adjacent targets for 270% damage + apply Slow for 2 turns.

Gain Charged. Level Required: 70  t4 confidence 35.7%",Zemo
basic,Ability 1,Beast is a master of Mutant science who improves any X-Men team by healing and granting positive effects.,Beast
special,Ability 2,Assist/Counter Info Attack primary target for 205% damage + 17% Piercing damage + flip 2 positive effects to a negative effects.,Beast
ultimate,Ability 3,"Dignified Strikes  Attack primary target for 250% damage and adjacent targets for 200% damage + flip 1 positive effect to a negative effect on each target.

When this character performs a Counterattack or Assist, they flip 2 positive effects to negative effects. Level Required: 65  t4 confidence 40.4%",Beast
passive,Ability 4,"Volatile Experiment  Clear 2 negative effects from self and all allies.
Heal self and all allies for 20% of this character's Max Health.

Attack all enemies for 300% damage + apply Heal Block.

If this character has a Jean Grey ally:
 > Clear an additional 2 negative effects from self and all IMMORTAL X-MEN and UNCANNY AVENGER allies.
 > Clear all Vulnerable on self and all X-MEN and UNCANNY AVENGER allies.
 > This attack gains +500% Extra Focus. Level Required: 68  t4 confidence 52.8%",Beast
basic,Ability 1,"An adopted son of Asgard, Beta Ray Bill shows his enemies Stormbreaker's might by calling down lightning upon them and acting as a shield for his allies.",BetaRayBill
special,Ability 2,"Lightning Strike  Attack primary target and all enemies in that character's row for 300% damage. Gain +50% Damage against targets with Defense Up or Regeneration.
Flip Defense Up and Regeneration on each target.
Gain 1 Ability Energy.

This attack cannot be blocked by enemies with Defense Up or Regeneration.

In RAIDS, when this character performs a Counterattack or Assist and has Regeneration, gain an additional +100% Damage on that Counterattack or Assist. Level Required: 65  t4 confidence 39.8%",BetaRayBill
ultimate,Ability 3,"Thunder Clap  Attack primary and adjacent targets for 420% damage.
Apply Stun to primary target.

Gain Taunt for 2 turns.

Apply +1 Defense Up, up to a maximum of 3, and 2 Deflect to self and all COSMIC allies. Level Required: 68  t4 confidence 45.1%",BetaRayBill
passive,Ability 4,"Battleship Skuttlebutt  Attack all enemies for 500% damage + 50% damage per positive effect on self.
Flip all positive effects to Bleed on each enemy.

If this character has 4 or more ASGARDIAN allies, this attack gains +50% extra Damage.

This attack cannot be blocked. Level Required: 70  t4 confidence 44.8%",BetaRayBill
basic,Ability 1,"The Astonishing X-Men's Blaster from the future, Bishop uses his mutant energy powers to deliver devastating attacks.",Bishop
special,Ability 2,Assist/Counter Info Clear Counter on primary target. Attack primary target for 216% damage + 20% Piercing damage.,Bishop
ultimate,Ability 3,"Beam Shot  Clear Counter on primary target. Attack primary target for 270% damage. Then gain +1 Counter, up to maximum of 4.

This attack cannot be counterattacked. Level Required: 65  t4 confidence 30.4%",Bishop
passive,Ability 4,"Retaliation Laser  Attack primary target for 300% damage.

If Jubilee is an ally:
 > Gain Offense Up.
 > Attack primary target for 400% damage, instead.
 > Apply Offense Up + Defense Up to a Jubilee ally.
 > This attack is unavoidable and always Crits. Level Required: 68  t4 confidence 28.9%",Bishop
basic,Ability 1,"The King of the Inhumans, Black Bolt is a Blaster whose voice deals massive damage and prevents enemies from reviving.",BlackBolt
special,Ability 2,"Royal Strike  Flip 2 negative effects to positive effects on self.

Attack primary target for 400% damage + clear 2 positive effects. Level Required: 65  t4 confidence 63.2%",BlackBolt
ultimate,Ability 3,"Staggering Voice  Attack primary target for 600% damage.

In CRUCIBLE, instead, attack primary and adjacent targets for 600% damage.

This attack is Unavoidable and cannot be Blocked. Level Required: 68  t4 confidence 54.4%",BlackBolt
passive,Ability 4,"Sonic Scream  Attack all enemies for 500% damage.

This attack gains +20% Crit Chance for each ILLUMINATI or INHUMAN ally.

If this character has 2 or more ILLUMINATI allies, this attack is Unavoidable. Level Required: 70  t4 confidence 60.2%",BlackBolt
basic,Ability 1,"A master thief with nine lives and uncanny luck, Felicia Hardy's sticky fingers nab enemy buffs and distribute Charge to her allies.",BlackCat
special,Ability 2,"Stealth Slice  Attack primary target for 320% Piercing + apply Slow and 2 Bleed.

Reduce Speed Bar on the primary target by 5%.
Fill Speed Bar on this character by 5%.

If this character has 30% or less Health, gain Stealth.

Gain +1 Charged.

On ARENA OFFENSE, this attack ignores Defense Up.

Enemies killed by this attack cannot be revived. Level Required: 75  t4 confidence 70.3%",BlackCat
ultimate,Ability 3,"Bad Luck...For You  Attack primary target for 300% Piercing and do the following effects to the primary target:
 > Apply Trauma, Bleed, Disrupted, and Stun.
 > Copy and clear 3 positive effects, except Taunt, on primary target to self.
 > Reduce Speed Bar by 10%.
 > Clear 1 Charged.

Rebound Chain to 4 adjacent targets for 300% Piercing + apply Bleed + clear 1 Charged on each target.

Fill Speed Bar by 10% for this character.
Apply +2 Charged to self and all SECRET DEFENDER allies.

This attack can Chain to Stealth targets and cannot be blocked or counterattacked. Level Required: 68  t4 confidence 66.8%",BlackCat
passive,Ability 4,"Ill-gotten Gains  Do the following actions to the primary target:
 > Clear Immunity.
 > Transfer all negative effects and Vulnerable from self.
 > Copy and clear Charged and all positive effects, excluding Taunt, to self.
 > In ARENA, if this character has Trauma, apply Trauma.
 > Attack for 500% Piercing.
 > Reduce Speed Bar by 20%.

Do the following actions to this character:
 > Gain Immunity.
 > In ARENA, if primary target has Safeguard, gain +1 Safeguard.
 > Fill Speed Bar by 20%.
 > Gain +1 Charged.

On ARENA OFFENSE, apply Blind to primary target and 1 random SPIDER-VERSE enemy.

Enemies killed by this attack cannot be revived.
This attack is Unavoidable and cannot be blocked. Level Required: 80  t4 confidence 64.3%",BlackCat
basic,Ability 1,"Thrown forward in time, the Black Knight has arrived to bring the legendary Ebony Blade to bear against enemies that attack him or his allies.",BlackKnight
special,Ability 2,"Flesh Wound  Attack primary target for 280% Piercing + clear 1 random positive effect.

Apply +1 Deflect, up to a maximum of 5, to self or the most injured non-summoned ally. If that character is an OUT OF TIME ally, apply an additional +1 Deflect, up to a maximum of 5.

This attack gains additional Piercing equal to this character's Bonus Armor %. Level Required: 65  t4 confidence 66.7%",BlackKnight
ultimate,Ability 3,"None Shall Pass  Clear all negative effects from self and all allies. If negative effects removed from this character, heal self for 5% per negative effect removed.
Heal self for 20% of Max Health.

Attack primary target for 300% Piercing + apply Ability Block.

Gain Taunt, Safeguard, and +2 Charged, up to a maximum of 3.

Apply Speed Up and Immunity to self, 1 random adjacent ally, and all OUT OF TIME allies.

Enemies killed by this attack cannot be revived.

This attack gains additional Piercing equal to this character's Bonus Armor %, ignores Defense Up, is Unavoidable, and cannot be blocked or counterattacked. Level Required: 68  t4 confidence 67.6%",BlackKnight
passive,Ability 4,"'Tis but a Slash  Attack primary and adjacent targets for 500% Piercing + 30% of this character's Max Health as damage.

Gain +1 Charged, up to a maximum of 3.
Apply Defense Up to self and all allies.
Apply Offense Up to all BRAWLER allies.

Enemies killed by this attack cannot be revived.

This attack gains additional Piercing equal to this character's Bonus Armor %, and cannot be dodged or counterattacked. Level Required: 70  t4 confidence 65.3%",BlackKnight
basic,Ability 1,"An agile, relentless hunter who shreds his enemies with rapid attacks.",BlackPanther
special,Ability 2,Assist/Counter Info Attack primary target for 105% damage + 47% Piercing + apply Slow and Bleed.,BlackPanther
ultimate,Ability 3,Claw Slash  Attack primary target for 210% damage + 30% Piercing + apply Slow and Bleed. Level Required: 65  t4 confidence 36.2%,BlackPanther
passive,Ability 4,"Hunter's Spirit  Attack primary target for 230% damage + 30% Piercing.

Apply Offense Up for 2 turns to self and all WAKANDAN allies.
On Crit, apply 2 Counter to self and all WAKANDAN allies.

If this character has 2 or more WAKANDAN allies, this attack gains +100% Crit Chance. Level Required: 68  t4 confidence 29.8%",BlackPanther
basic,Ability 1,"Star-Lord (T'Challa) is the idealistic Ravager outlaw who uses gadgets, charm, and fancy footwork to embolden his allies, take power from the powerful, and stylishly defeat those who threaten his friends.",TChalla
special,Ability 2,"Element Blast  Attack primary target for 280% damage + Bonus Attack for 250% damage.

Gain Offense Up. Level Required: 65  t4 confidence 20.2%",TChalla
ultimate,Ability 3,"Gravity Repulsor  Attack primary target for 400% damage + apply Blind. Apply Defense Down.
On WAR OFFENSE, if Yondu is an ally, apply Defense Down to all enemies instead.

If the primary target has Blind, steal up to 2 Ability Energy from that target.

This attack is Unavoidable. Level Required: 68  t4 confidence 25.3%",TChalla
passive,Ability 4,"Ravager Rocket  Copy all positive effects, excluding Safeguard, Taunt, and Regeneration, from adjacent allies.

Attack primary target for 530% damage.

Increase the duration of all positive effects, excluding Regeneration, for self and all RAVAGER allies by +1, to a maximum of 3. Level Required: 70  t4 confidence 26.6%",TChalla
basic,Ability 1,"Discovering Wakanda's Vibranium meteor and combining it with the Heart-Shaped Herb in the year 1,000,000 B.C., Bashenga became the first Black Panther.",BlackPantherBC
special,Ability 2,"Assist/Counter Info Attack primary target for 225% Piercing + apply +1 Defense Down, up to a maximum of 5.
If this character has Defense Up, repeat this attack.",BlackPantherBC
ultimate,Ability 3,"Prehistoric Claw  Attack primary target for 300% Piercing + apply +1 Defense Down, up to a maximum of 5.

If this character has Defense Up, repeat this attack. Level Required: 65  t4 confidence 19.5%",BlackPantherBC
